SFI Rank (for all words in 'NGSL Stats & Frequencies to 34K' list)	Lemma/Word (map to 'Front' in Anki)	Outline in dictionary, or an outline that works without your having to add anything to the dictionary	Outline added to dictionary	Simplified outline/notes (please see the Readme for more information regarding this column)	Alternate outline/notes (note: alternate outlines may have been remapped to another outline. In addition, outlines identified as such in this section are likely original outlines unless otherwise specified.)	Story for remembering new outline (or original outline, if there is no new outline)	Story for remembering original outline (if there is also a new outline) (note: outlines identified as such in this section are likely original outlines unless otherwise specified.)	Word number	NIO (Non-intuitive outline)? (I should note that with respect to this column, my bar for what constitutes an 'intuitive' outline is pretty low; if the outline has some resemblance to the word it's representing (such as the same first letter), even if it's pretty weak, I'll probably consider it an intuitive outline. However, this list doesn't follow any set standards.)	NIVLO (Non-Intuitive Vowel-less Outline?) (I have found that vowel-less outlines that aren't intuitive tend to be less than ideal. However, not all NIVLOs are poor outline choices, and it's certainly the case that not all 'voweled'/intuitive outlines are good outline choices. I should note that with respect to this column, my bar for what constitutes an 'intuitive' outline is pretty low; if the outline has some resemblance to the word it's representing (such as the same first letter), even if it's pretty weak, I'll probably consider it an intuitive outline. However, this list doesn't follow any set standards.)	Outline that you might want to change in the future? (Example: it's a 3-or 4-keypress vowel-less outline that you don't really like.)	Wordlist	Tags (for Anki)	Within-NGSL Rank	1337 Column	#of characters in added-in outline (or pre-existing outline if there's no addition)	# of strokes, if greater than 1, in the added-in outline (or the original outline if there was no addition)	#Of characters in the original outlines (e.g. excluding added-in outlines)	#of strokes in the original outline (excluding added-in outlines)	#number of characters in the original English word (counting capitalization and punctuation, but not spaces before/after words)
3.00	and	SKP-	AP	"AP overwrites ""app,"" for which I added in APG. Note that SKP- is still used in many phrases that incorporate ""and."" Although it may seem strange to use two different forms of a word (one for the word by itself and one for phrases), this is already seen in Plover's original dictionary (e.g. -PT for ""want"" and -BS for ""said"" in phrases). Due to the presence of all the phrases that use SKP-, you may actually find yourself using SKP- more frequently than AP for ""and."""		"The AP style manual will help you learn how to correctly use the word ""and"" in a sentence."		29				1 - NGSL	Top1K	3	1C	2.000		3		3
4.00	of	-F						30				1 - NGSL	Top1K	4	1D	1.000		1		2
5.00	to	O		"Use O instead of TO for ""to"" at your own risk, as O is a stroke used in multiple 2+ stroke outlines. However, I figure that saving the keypress is worth it, as all of the words in ROPE can be written in just one keypress (so those two-keypress outlines that use O as a stroke aren't that common). In addition, I added in OB for ""to be,"" which overwrites a misstroke entry for ""on."""	TO 			31				1 - NGSL	Top1K	5	1E	1.000		1		2
6.00	a	AEU	A	"This addition overwrites the ""a-"" prefix (for which I use AEU). Although it's obviously an important prefix, none of the top 4000 words in ROPE use it (because all the outlines are a single stroke). Therefore, I think it's better to use A for ""a,"" which is one of the most common words in English. If you do use A for ""a,"" you'll probably have to add in a lot of additional outlines to overwrite word boundary errors, but I personally think that this change is worth it."				32				1 - NGSL	Top1K	6	1F	1.000		3		1
6.01	an	-PB		N (on right side)				33				5 - Derivative of NGSL Root Word	Top1K	6.01	20	2.000		2		2
7.00	in	TPH-		N-				34				1 - NGSL	Top1K	7	21	3.000		3		2
8.00	have	SR-		V-				35				1 - NGSL	Top1K	8	22	2.000		2		4
8.01	haven't	SR-PB	SR-P		SR-PBT	"""I haven't got a clue what my job responsibilities are,"" a new VP (Vice Precedent) admits to the media."	"A kid declares to you: ""As long as I have a jar of crunchy PB (peanut butter), I SR (have) no need for anything else."" (SR is the outline for ""have."")"	36				5 - Derivative of NGSL Root Word	Top1K	8.01	23	3.000		4		7
8.02	we've	W*EF			Alternate: WAOEF	"""WEF (we've) accomplished something amazing,"" agree a team of scientists who managed to launch an ELEPHANT (E) into the STARS (*). However, they're not sure if they'll be able to bring him back down OK."		37				5 - Derivative of NGSL Root Word	Top1K	8.02	24	4.000		4		5
8.03	has	HAS						38				5 - Derivative of NGSL Root Word	Top1K	8.03	25	3.000		3		3
8.04	hasn't	HAEPBT	HA*S	"HA*S is based on HAS for ""has,"" and overwrites ""Haas,"" for which I added in HA*US, which overwrites ""Haus."" The asterisk negates the meaning of ""has"" and turns it into ""hasn't."""			"A hunter hasn't got a clue why he's in the ACCIDENT AND EMERGENCY DEPARTMENT. The reason is that while H(u)NT-ing (hunting), he fell off a tree and got knocked unconscious."	39				5 - Derivative of NGSL Root Word	Top1K	8.04	26	4.000		6		6
8.05	had	H-						40				5 - Derivative of NGSL Root Word	Top1K	8.05	27	1.000		1		3
8.06	hadn't	H-PBT	H-S	"H-S is similar to H- for ""had."""		A senior laments during graduation that HS (high school) hadn't been as fun as kindergarten.		41				5 - Derivative of NGSL Root Word	Top1K	8.06	28	2.000		4		6
8.07	I'd	AOEUD	EUD	"EUD overwrites ""id,"" for which I added in AO*ED, which overwrites ""he'd,"" for which I added in H*D."	EUD/AE	"""I'd say that the subject of the EUD (id) is somewhat dated in modern psychology,"" your professor says."		42				5 - Derivative of NGSL Root Word	Top1K	8.07	29	3.000		5		4
8.08	you've	UF	*UF	"*UF overwrites ""UV,"" for which I added in SRAOU, which overwrites ""view,"" for which I added in SRU. (I use UF for ""you have."")"				43				5 - Derivative of NGSL Root Word	Top1K	8.08	2A	3.000		2		6
8.09	I've	AOEUF	*EUF	"*EUF overwrites ""IV,"" so if you work in a medical field, you may not want to use this addition."		"A PORCUPINE (*) explains to his friends: ""If the EU (European Union) increases its FRENCH FRY (-F) output, I've really got to move there. I love Italy!"""		44				5 - Derivative of NGSL Root Word	Top1K	8.09	2B	4.000		5		4
8.15	could've	KO*UF			"With regard to original outlines: could've, would've, and should've are made by adding *UF to the end of the briefs for could, would, and should."			45				5 - Derivative of NGSL Root Word	Top1K	8.15	2C	5.000		5		8
8.16	would've	WO*UF	WO*F	"WO*F is based on the addition of WOF for ""would have."""				46				5 - Derivative of NGSL Root Word	Top1K	8.16	2D	4.000		5		8
8.17	should've	SHO*UF	SH*UF			"When everyone studying hard at the UF (University of Florida) Library tells your pet PORCUPINE (*) to SH (shh), you realize that you SH*UF (should've) left him at home."		47				5 - Derivative of NGSL Root Word	Top1K	8.17	2E	5.000		6		9
9.00	it	T-						48				1 - NGSL	Top1K	9	2F	1.000		1		2
9.01	its	EUTS	T-S	"T-S overwrites ""it's,"" for which I added in T*S, which overwrites ""it is,"" for which you can use ST*. (Note that ST- is ""is it."") T-S is simply T- for ""it"" with S for the ""-s"" ending."				49				5 - Derivative of NGSL Root Word	Top1K	9.01	30	2.000		4		3
10.00	you	U						50				1 - NGSL	Top1K	10	31	1.000		1		3
10.01	your	KWRUR	UR	"UR overwrites ""you're,"" for which I added in *UR, which overwrites one way to write ""you are."" Note that UR corresponds nicely with URS for ""yours."""				51				5 - Derivative of NGSL Root Word	Top1K	10.01	32	2.000		5		4
10.02	yours	URS				"""Yours truly is spending quite a bit of time in URS (Uris) Hall these days,"" a busy Columbia MBA student says to his friend."		52				5 - Derivative of NGSL Root Word	Top1K	10.02	33	3.000		3		5
11.00	he	E						53				1 - NGSL	Top1K	11	34	1.000		1		2
11.02	him	HEUPL	HET	"HET overwrites ""het."""		"""ET is lost, so I'm going to HONDURAS (H-) to find him"" is an unusual way to ask your boss for extra vacation time."		54				5 - Derivative of NGSL Root Word	Top1K	11.02	35	4.000		5		3
11.02	his	HEUS						55				5 - Derivative of NGSL Root Word	Top1K	11.02	36	3.000		4		3
12.00	for	TP-R						56				1 - NGSL	Top1K	12	37	3.000		3		3
13.00	they	THE						57				1 - NGSL	Top1K	13	38	3.000		3		4
13.01	their	THAEUR	T-R	"T-R overwrites one way to write ""interest."" I also added in T-RS for ""theirs,"" which overwrites one way to write ""interests."""		The city of TOKYO (T-) wishes that their local ROLLER COASTERS (-R) were just as tall as Mount Fuji.		58				5 - Derivative of NGSL Root Word	Top1K	13.01	39	2.000		6		5
13.02	those	THOES	THOS					59				5 - Derivative of NGSL Root Word	Top1K	13.02	3A	4.000		5		5
13.03	them	THEPL	TEPL			"If you had a big juicy PINEAPPLE (-P) and your friends were coming over, would you TEL (tell) them about it, or would you hide it somewhere?"		60				5 - Derivative of NGSL Root Word	Top1K	13.03	3B	4.000		4		4
14.00	not	TPHOT	OT	"OT overwrites ""ought,"" for which I added in O*T, which overwrites {^otte}, for which I added in AO*T."		Watching a football game go into OT (overtime) is not a bad way to spend an evening— unless you have to wake up at 5 the next day to go to work.		61				1 - NGSL	Top1K	14	3C	2.000		5		3
15.00	that	THA		"I use THATS for ""that's."""				62				1 - NGSL	Top1K	15	3D	3.000		3		4
16.00	we	WE						63				1 - NGSL	Top1K	16	3E	2.000		2		2
16.01	our	OUR						64				5 - Derivative of NGSL Root Word	Top1K	16.01	3F	3.000		3		3
16.02	us	US						65				5 - Derivative of NGSL Root Word	Top1K	16.02	40	2.000		2		2
17.00	on	OPB		ON				66				1 - NGSL	Top1K	17	41	3.000		3		2
18.00	with	W-						67				1 - NGSL	Top1K	18	42	1.000		1		4
19.00	this	TH-						68				1 - NGSL	Top1K	19	43	2.000		2		4
19.01	these	THEZ	THES					69				5 - Derivative of NGSL Root Word	Top1K	19.01	44	4.000		4		5
20.00	I	EU						70				1 - NGSL	Top1K	20	45	2.000		2		2
20.01	me	PHE						71				5 - Derivative of NGSL Root Word	Top1K	20.01	46	3.000		3		2
20.02	my	PHEU						72				5 - Derivative of NGSL Root Word	Top1K	20.02	47	4.000		4		2
21.00	do	TKO						73				1 - NGSL	Top1K	21	48	3.000		3		2
21.01	does	TKOS				"Your grandparent explains: ""I don't need a new computer! MS-DOS does everything I need it to."""		74				5 - Derivative of NGSL Root Word	Top1K	21.01	49	4.000		4		4
21.02	don't	TKOEPBT	TK-T	"TK-T overwrites ""did the,"" for which I added in TKHU."		"If you're a kicker, you probably don't want to try and block a DT (defensive tackle) on a special teams play."	"You say to a person who's heavily in DEBT (OE): ""Don't get another credit card! Pay off the ones you have first."""	75				5 - Derivative of NGSL Root Word	Top1K	21.02	4A	3.000		7		5
21.03	doesn't	TKOPBT	TKO*		TKUPBT	It doesn't really make sense to DO (do) your hair with PORCUPINE (*) quills when there are much more sustainable and humane options out there.		76				5 - Derivative of NGSL Root Word	Top1K	21.03	4B	4.000		6		7
21.04	did	TK-		D-				77				5 - Derivative of NGSL Root Word	Top1K	21.04	4C	2.000		2		3
21.05	didn't	TK-PBT	TK-PB	"I also added in TK-PBT for ""didn't the,"" which overwrites the original outline for ""didn't."""		"A nervous broker explains to his boss: ""I didn't mean to buy into the stock right before it went D-N (down) 80%!"""		78				5 - Derivative of NGSL Root Word	Top1K	21.05	4D	4.000		5		6
21.06	doing	TK*G						79				5 - Derivative of NGSL Root Word	Top1K	21.06	4E	4.000		4		5
21.07	done	TKOB			"TKOPB (which I use for ""discipline"")"	Your DOB (Date of Birth) is the day your mother was done with her pregnancy—an exciting day for both of you!		80				5 - Derivative of NGSL Root Word	Top1K	21.07	4F	4.000		4		4
22.00	as	AS			AZ			81				1 - NGSL	Top1K	22	50	2.000		2		2
23.00	at	AT						82				1 - NGSL	Top1K	23	51	2.000		2		2
24.00	she	SHE						83				1 - NGSL	Top1K	24	52	3.000		3		3
24.01	her	HER						84				5 - Derivative of NGSL Root Word	Top1K	24.01	53	3.000		3		3
24.02	hers	HERS						85				5 - Derivative of NGSL Root Word	Top1K	24.02	54	4.000		4		4
25.00	but	PWU		BU				86				1 - NGSL	Top1K	25	55	3.000		3		3
26.00	from	TPR-						87				1 - NGSL	Top1K	26	56	3.000		3		4
27.00	by	PWEU	PWA	"PWA overwrites ""ba."""		A new college student is excited about the opportunity to put B.A. next to her name one day.		88				1 - NGSL	Top1K	27	57	3.000		4		2
28.00	will	HR-		L-				89				1 - NGSL	Top1K	28	58	2.000		2		4
28.01	willing	-LG				"If you're not willing to do your chores, just get a fancy LG machine to do them for you!"		90				5 - Derivative of NGSL Root Word	Top1K	28.01	59	2.000		2		7
28.02	won't	WOPT		"Probably a misstroke, but it is so easy to type and saves two keypresses."	WOEPBT	"""I won't do it again!"" a child says to his mom when she learns that he WOPT (whopped) his brother on the head."		91				5 - Derivative of NGSL Root Word	Top1K	28.02	5A	4.000		4		5
28.03	I'll	AOEUL	*EUL	"*EUL overwrites ""Illinois,"" for which I added in *EULD."				92				5 - Derivative of NGSL Root Word	Top1K	28.03	5B	4.000		5		5
28.04	you'll	UL	*UL	"I use UL for ""until."""				93				5 - Derivative of NGSL Root Word	Top1K	28.04	5C	3.000		2		6
28.05	he'll	*EL				"A kid feels bad for a little PORCUPINE (*) whom she sees hopping along the tracks of Chicago's EL, saying: ""he'll get hit soon!"" She almost wants to jump onto the tracks to save it."		94				5 - Derivative of NGSL Root Word	Top1K	28.05	5D	3.000		3		5
28.06	she'll	SHAOEL	SH-L	"The Phrases in English site indicates that ""she'll"" is more common than ""she will"" (for which I added in SH*L)."		"A man says to his wife: ""I don't understand my daughter. She'll SH-L (shell) out 200 dollars to see this boy band, yet she won't come to a monster truck rally with me!"""		95				5 - Derivative of NGSL Root Word	Top1K	28.06	5E	3.000		6		6
28.07	they'll	THEL	TH*EL	"THEL overwrites the original outline for ""they'll."" The Phrases in English site indicates that ""they will"" is more common than is ""they'll."" Therefore, I use THEL for ""they will"" and TH*EL for ""they'll."""				96				5 - Derivative of NGSL Root Word	Top1K	28.07	5F	5.000		4		7
28.08	who'll	"WHOL (or WHO*L if you use WHOL for ""whole"")"		"I use WHO*L because I use WHOL for ""whole."""			"""Why did you buy a WHOL (whole) OCTOPUS (O)?"" a wife asks her husband. ""Who'll eat that?"""	97				5 - Derivative of NGSL Root Word	Top1K	28.08	60	5.000		4		6
28.09	we'll	WAOEL	W*EL	"W*EL overwrites one way to write the ""well-"" prefix."		"""We'll need to work together to get that PORCUPINE (*) out of the WEL (well),"" a farmer says to his friends."	"We'll find a way to stay MOSQUITO (AOE)-proof one day, I'm sure."	98				5 - Derivative of NGSL Root Word	Top1K	28.01	61	4.000		5		5.00
29.00	or	OR						99				1 - NGSL	Top1K	29	62	2.000		2		2
30.00	say	SAEU	SAE	"SAE overwrites ""sea,"" for which I added in SAEU, which overwrites the original outline for ""say."""		The ACCIDENT & EMERGENCY DEPARTMENT (AE) is a place where family members SAE (say) some pretty intense things to each other.		100				1 - NGSL	Top1K	30	63	3.000		4		3
30.01	says	SEZ	SAES	"SAES overwrites one way to write ""satisfies."""			"At this diner, whatever the Chez SEZ (says) goes."	101				5 - Derivative of NGSL Root Word	Top1K	30.01	64	4.000		3		4
30.02	said	SAEUD	SAED	"SAED overwrites one way to write ""satisfied."""				102				5 - Derivative of NGSL Root Word	Top1K	30.02	65	4.000		5		4
30.02	saying	SAEUG	SAEG	"SAEG overwrites one way to write ""satisfying."""				103				5 - Derivative of NGSL Root Word	Top1K	30.02	66	4.000		5		6
31.00	go	TKPW-		"I also added in TKPWO (which combines TKPW- for ""go"" and O for ""to"") for ""go to"" and TKPWO* (which overwrites ""Go"") for ""to go."" In addition, I added in TKPWOG for ""going to""; TKPWOD for ""went to""; and TKPWOS for ""goes to."" (TKPWO, TKPWOG, TKPWOD, and TKPWOS overwrite one way to write ""go""; one way to write ""going""; ""god"" (for which I added in O*ELT, which is based on the addition of OELT for ""God""); and ""goes,"" respectively.)"				104				1 - NGSL	Top1K	31	67	4.000		4		2
31.01	went	WEPBT	W*ET			"A PORCUPINE (*) went for a swim, and emerged soaking soaking WET (wet)."		105				5 - Derivative of NGSL Root Word	Top1K	31.01	68	4.000		5		4
31.02	gone	TKPWOPB	TKPW-D	"TKPW-D overwrites ""good,"" for which I added in -L. It is based on TKPW for ""go."""				106				5 - Derivative of NGSL Root Word	Top1K	31.02	69	5.000		7		4
31.03	gonna	TKPW*G	OUPB			"""This is gonna be a great way to raise money!"" says OU's marketing department of their new football-themed PB (peanut butter) brand."	"An English teacher crosses out the word ""gonna"" in a paper and puts an * (asterisk) next to it, writing: ""don't use slang in your essay. Use G-G (going) instead."" (G-G is the outline for ""going."")"	107				5 - Derivative of NGSL Root Word	Top1K	31.03	6A	4.000		6		5
32.00	so	SO						108				1 - NGSL	Top1K	32	6B	2.000		2		2
33.00	all	AUL						109				1 - NGSL	Top1K	33	6C	3.000		3		3
34.00	if	TP-		F-				110				1 - NGSL	Top1K	34	6D	2.000		2		2
35.00	one	WUB		"I also added in WUFB for ""one of."""	WUP; WUPB	"Your wet WALRUS (W-) asks you to ""wub"" (rub) its belly one more time before it goes to sleep."		111				1 - NGSL	Top1K	35	6E	3.000		3		3
36.00	would	WO						112				1 - NGSL	Top1K	36	6F	2.000		2		5
36.01	wouldn't	WOPBT	WO*					113				5 - Derivative of NGSL Root Word	Top1K	36.01	70	3.000		5		8
36.02	who'd	WHO*D				"Who'd take a sick PORCUPINE (*) off the side of the road and into their home? A nature lover, that's who."		114				5 - Derivative of NGSL Root Word	Top1K	36.02	71	5.000		5		5
36.03	you'd	"UD (or *UD if you use UD for ""you had"")"		"I use *UD for ""you'd"" because I use UD for ""you had."" *UD is similar to the additions of *UR for ""you're,"" *UL for ""you'll,"" and *UF for ""you've."""				115				5 - Derivative of NGSL Root Word	Top1K	36.03	72	3.000		2		5.00
36.04	we'd	WAOED	W*ED			"""We'd better go see this,"" you say to your friends when you hear that two PORCUPINES (*) are about to WED (wed) each other in a forest ceremony."		116				5 - Derivative of NGSL Root Word	Top1K	36.04	73	4.000		5		4.00
36.05	she'd	SHAOED	SH*D	"SH*D is based on the addition of SH-D for ""she had."""				117				5 - Derivative of NGSL Root Word	Top1K	36.05	74	4.000		6		5.00
36.06	they'd	THED	TH*ED	"I use THED for ""they had."" The Phrases in English website indicates that ""they had"" is more common than is ""they'd."""				118				5 - Derivative of NGSL Root Word	Top1K	36.06	75	5.000		4		6.00
36.07	he'd	AOED	H*D	"H*D (which overwrites ""Hodgkin's disease,"" for which I added in HO*PBLG) is based on the addition of H-D for ""he had."" H*D is similar to the addition of SH*D for ""she'd."""			"If a man is taking a trip to DALLAS (-D) in the summer, he'd better bring some MOSQUITO (AOE) repellent."	119				5 - Derivative of NGSL Root Word	Top1K	36.07	76	3.000		4		4.00
37.00	about	PW-		B-				120				1 - NGSL	Top1K	37	77	2.000		2		5
38.00	can	K-		"I also added in KAEPBG for ""canning."" I use K-Z for ""cans"" and K*D for ""canned."""				121				1 - NGSL	Top1K	38	78	1.000		1		3
38.01	cannot	KAPBLT	KAPBT	"KAPBT overwrites one way to write ""can't."""		"A vegan-themed wedding is one KAPB (occasion) in which you cannot eat beef tacos. (KAPB is an addition for ""occasion."")"	You cannot wait to visit the KAPBL-s (canals) of Venice--and maybe drink some T (tea) at an Italian cafe while you're there.	122				5 - Derivative of NGSL Root Word	Top1K	38.01	79	5.000		6		6
38.02	can't	K-PBT						123				5 - Derivative of NGSL Root Word	Top1K	38.02	7A	4.000		4		5
39.00	which	WEU						124				1 - NGSL	Top1K	39	7B	3.000		3		5
40.00	there	THR- or TH-R						125				1 - NGSL	Top1K	40	7C	3.000		3		5
41.00	know	TPHOE	K-G	"K-G maps to ""kilogram,"" but there are other ways to write that. One of those ways is K*G, but I use K*G to write ""knowing"" in one stroke. That leaves some other outlines for kilogram. (I also added in K-GS for ""knows,"" which overwrites ""kilograms,"" and K-PBG for ""known,"" which overwrites ""conditioning,"" for which I added in K-PBGT.)"		"Because I live in the US, I really don't know how many K-Gs (kilograms) I weigh. It's simply not something I keep track of!"		126				1 - NGSL	Top1K	41	7D	2.000		5		4
41.01	knew	TPHAOU	K-GD	"K-GD is based on the addition of K-G for ""know."""			"Sure, you knew that you can't make a U-TURN (AOU) on the interstate-but that doesn't mean you should get a ticket, right?"	127				5 - Derivative of NGSL Root Word	Top1K	41.01	7E	3.000		6		4
42.00	more	PHOR	PH-R	"PH-R overwrites one way to write ""Mr."" (which can also be written as PHR-RBGS)."				128				1 - NGSL	Top1K	42	7F	3.000		4		4
